Bus,Lat,Lon,Generators
0,54.67662,9.240974,0
1,54.23984,13.12813,-
2,54.03823,13.53129,-
3,54.32595,10.16839,1
4,54.10746,12.15466,2
5,54.33315,9.667671,-
6,54.03245,12.26283,-
7,53.83563,13.18713,-
8,53.73687,12.30216,-
9,53.98045,9.489911,-
10,53.83563,10.52238,-
11,53.93416,9.224419,3
12,53.44506,14.12127,-
13,53.80661,9.991396,-
14,53.52697,11.47618,-
15,53.53281,9.725904,4
16,53.56786,10.23722,-
17,53.46262,9.450579,5
18,53.09221,14.35726,-
19,53.40404,9.617741,-
20,53.44506,10.46338,6
21,53.57673,8.058781,7
22,53.31002,9.86215,8
23,53.39847,8.657956,-
24,53.00933,11.98608,-
25,53.3004,8.435681,9
26,53.31002,7.217066,10
27,53.25996,8.213407,-
28,53.23946,7.531723,-
29,53.03971,10.33951,-
30,53.06268,8.585272,11
31,53.06268,8.349279,12
32,52.9621,9.224419,-
33,52.65302,13.30513,-
34,52.58138,13.60995,-
35,52.92063,8.87043,13
36,52.94433,8.536107,-
37,52.58735,13.18713,14
38,52.60527,13.03964,-
39,53.02708,7.374394,-
40,52.47969,13.88528,15
41,52.87671,8.097438,-
42,52.77744,8.928551,-
43,52.86711,7.226899,-
44,52.41376,12.57749,-
45,52.11286,14.65226,-
46,52.20937,13.37396,16
47,52.67078,7.266231,-
48,52.48417,9.218474,17
49,52.53954,8.339446,-
50,52.28763,10.7977,18
51,52.23346,11.84001,-
52,52.24551,9.961897,19
53,52.32972,8.831098,20
54,52.26357,10.43388,21
55,52.43162,7.29573,22
56,51.88757,13.92402,-
57,52.16114,11.10253,23
58,52.25755,9.057258,-
59,52.19129,9.578409,-
60,52.26357,8.7721,-
61,51.75257,14.39125,24
62,52.28162,8.270615,-
63,52.09474,9.853734,-
64,52.20924,7.934877,25
65,52.11286,8.899929,26
66,52.15498,7.030238,-
67,51.53474,14.43744,27
68,51.86461,9.670337,-
69,51.72596,12.12239,-
70,51.91102,8.739754,-
71,51.92841,8.598756,-
72,51.95544,8.141371,-
73,51.82977,9.341343,-
74,51.70179,9.783135,28
75,51.90694,7.62022,-
76,51.37769,14.51212,29
77,51.81234,8.448359,-
78,51.57537,11.38493,-
79,51.24932,14.91352,-
80,51.67265,8.852552,-
81,51.2902,13.48528,-
82,51.185,14.23207,-
83,51.58512,8.692755,-
84,51.37769,11.81433,30
85,51.64349,8.147565,-
86,51.45337,10.93685,-
87,51.64349,7.874969,31
88,51.30771,12.64514,-
89,51.48573,9.313144,-
90,51.57344,8.081766,32
91,51.25517,12.35576,33
92,51.70179,6.352197,-
93,51.0561,13.67198,34
94,51.62599,7.113583,35
95,51.36264,9.736136,-
96,51.45059,8.589357,-
97,51.05023,13.83067,-
98,51.16745,12.26241,-
99,51.62015,6.71879,36
100,51.46403,7.904613,-
101,51.55007,7.010185,37
102,51.10302,12.71049,-
103,51.51498,7.26398,38
104,51.44473,7.188782,-
105,51.21568,9.454141,-
106,51.26863,8.843152,-
107,51.38024,7.414378,39
108,51.39784,6.869188,-
109,51.37437,7.169982,-
110,51.29803,7.705773,40
111,51.10367,9.425942,-
112,50.83849,12.85051,-
113,50.90599,11.82918,-
114,50.86795,12.07571,-
115,51.10367,8.354361,-
116,50.8208,12.53312,-
117,50.95624,10.27408,-
118,50.93811,9.190946,41
119,51.01505,7.968968,-
120,50.62094,12.88367,-
121,50.57403,12.96681,42
122,51.06233,7.075984,-
123,50.76601,9.53874,-
124,50.59616,12.31842,-
125,51.05642,6.681191,43
126,50.94995,7.480177,-
127,50.94403,6.71879,44
128,50.57838,11.73032,45
129,50.73627,8.39196,-
130,50.77196,7.940768,-
131,50.91441,6.239399,-
132,50.73033,8.203964,-
133,50.55467,10.87151,-
134,50.48938,11.07688,-
135,50.8373,6.483794,46
136,50.75412,6.981986,-
137,50.59328,8.655155,-
138,50.4678,9.557539,-
139,50.26913,11.75832,-
140,50.61715,7.047784,-
141,50.20295,11.13762,-
142,50.33599,8.044166,-
143,50.35999,7.376778,-
144,50.32399,7.639974,-
145,50.32999,7.451977,-
146,50.43189,6.521394,-
147,50.0773,8.683355,47
148,50.10745,8.918351,48
149,49.98366,11.01752,-
150,49.9599,10.70342,-
151,50.02902,8.890151,-
152,50.02298,8.448359,-
153,49.90377,10.02203,49
154,49.99881,8.288562,50
155,49.67377,12.07069,-
156,49.9297,8.546596,-
157,49.87782,8.749154,-
158,49.79294,9.096948,51
159,49.98673,6.436795,-
160,49.61994,10.96209,52
161,49.93835,6.859788,53
162,49.6385,9.377927,-
163,49.76259,7.621174,-
164,49.641,8.467159,54
165,49.41001,11.30391,55
166,49.51911,9.237945,-
167,49.33783,12.05221,56
168,49.76866,6.587193,-
169,49.41602,10.74037,-
170,49.44582,8.814953,-
171,49.30976,9.109844,57
172,49.28667,8.41076,58
173,49.38467,7.555375,-
174,49.22581,9.407605,-
175,49.40303,7.151182,-
176,48.46229,8.511521,59
177,49.22532,8.514158,-
178,48.98393,12.12375,-
179,49.40303,6.822188,-
180,49.45805,6.568393,-
181,48.41849,8.41248,-
182,48.88704,11.88775,-
183,48.6862,13.28404,60
184,48.34645,8.530386,61
185,48.88704,11.34694,62
186,48.64724,12.42857,63
187,48.35899,7.992735,64
188,48.61474,12.26141,-
189,48.73054,9.926391,-
190,48.24604,8.568115,-
191,48.23662,8.45021,-
192,48.52365,11.78942,65
193,48.61474,10.77662,-
194,48.2272,8.115357,-
195,48.24604,7.917275,-
196,48.14859,8.610562,-
197,48.56227,10.2471,66
198,48.14859,8.502088,-
199,48.36839,9.982986,-
200,48.3867,10.75696,-
201,48.26248,11.90742,-
202,48.32136,11.21911,-
203,48.12026,8.204965,-
204,48.27557,11.6026,-
205,48.28211,10.65863,-
206,48.35585,9.379308,-
207,48.09822,7.761639,-
208,48.11711,9.898094,-
209,48.01312,11.13061,-
210,48.21149,8.634143,-
211,47.86821,12.02542,-
212,47.87726,8.134222,-
213,47.96576,9.181226,-
214,47.85195,9.982986,-
215,47.87093,8.0116,-
216,47.89308,7.676747,-
217,47.71251,10.18107,-
218,47.82029,8.520953,-
219,47.5345,10.06788,-
220,47.5345,9.445335,-
221,47.68394,7.888978,67
222,47.63947,7.921991,-
223,47.63947,7.733342,68
224,50.1677,6.1924,-
225,47.61031,10.66846,-
226,48.47152,12.77273,-
227,48.13795,12.59573,-
